,Player,POS,Valuation
993,Alan Empereur,Centre-Back,£450k
996,Alessandro Crescenzi,Left-Back,£630k
999,Luigi Vitale,Left-Back,£540k
1002,Claud Adjapong,Right-Back,£3.15m
1005,Davide Faraoni,Right-Back,£810k
1008,Wesley,Right-Back,£180k
1011,Miguel Veloso,Defensive Midfield,£900k
1014,Andrea Danzi,Defensive Midfield,£450k
1017,Daniel Bessa,Central Midfield,£3.60m
1020,Valerio Verre,Central Midfield,£3.15m
1023,Sofyan Amrabat,Central Midfield,£2.70m
1026,Mattia Zaccagni,Central Midfield,£2.25m
1029,Emmanuel Badu,Central Midfield,£1.35m
1032,Matteo Pessina,Central Midfield,£1.35m
1035,Liam Henderson,Central Midfield,£1.26m
1038,Lucas Felippe,Central Midfield,£68k
1041,Darko Lazovic,Right Midfield,£2.70m
1044,Gennaro Tutino,Left Winger,£2.25m
1047,Antonio Di Gaudio,Left Winger,£1.26m
1050,Mariusz Stepinski,Centre-Forward,£3.60m
1053,Eddie Salcedo,Centre-Forward,£1.80m
1056,Samuel Di Carmine,Centre-Forward,£1.53m
1059,Giampaolo Pazzini,Centre-Forward,£450k
1062,Lubomir Tupta,Centre-Forward,£360k
1065,Etrit Berisha,Goalkeeper,£2.70m
1068,Karlo Letica,Goalkeeper,£1.62m
1071,Demba Thiam,Goalkeeper,£90k
1074,Francesco Vicari,Centre-Back,£4.50m
1077,Igor,Centre-Back,£2.70m
1080,Thiago Cionek,Centre-Back,£720k
1083,Bartosz Salamon,Centre-Back,£720k
1086,Nenad Tomovi?,Centre-Back,£540k
1089,Felipe,Centre-Back,£450k
1092,Paolo Cannistrà,Centre-Back,£23k
1095,Arkadiusz Reca,Left-Back,£3.15m
1098,Riccardo Mastrilli,Left-Back,£90k
1101,Jacopo Sala,Right-Back,£1.44m
1104,Simone Missiroli,Defensive Midfield,£1.80m
1107,Mirko Valdifiori,Defensive Midfield,£450k
1110,Jasmin Kurtic,Central Midfield,£5.40m
1113,Alessandro Murgia,Central Midfield,£4.50m
1116,Mattia Valoti,Central Midfield,£900k
1119,Marco D'Alessandro,Right Midfield,£1.80m
1122,Gabriel Strefezza,Right Midfield,£630k
1125,Mohamed Fares,Left Midfield,£5.40m
1128,Federico Di Francesco,Left Winger,£4.05m
1131,Marko Jankovic,Right Winger,£1.62m
1134,Andrea Petagna,Centre-Forward,£18.00m
1137,Gabriele Moncini,Centre-Forward,£1.80m
1140,Alberto Paloschi,Centre-Forward,£1.80m
1143,Sergio Floccari,Centre-Forward,£270k
1146,Gabriel,Goalkeeper,£900k
1149,Mauro Vigorito,Goalkeeper,£540k
1152,Marco Bleve,Goalkeeper,£135k
1155,Gianmarco Chironi,Goalkeeper,£45k
1158,Fabio Lucioni,Centre-Back,£810k
1161,Biagio Meccariello,Centre-Back,£540k
1164,Luca Rossettini,Centre-Back,£450k
1167,Davide Riccardi,Centre-Back,£135k
1170,Luka Dumancic,Centre-Back,£68k
1173,Cristian Dell'Orco,Left-Back,£900k
1176,Marco Calderoni,Left-Back,£630k
1179,Brayan Vera,Left-Back,£450k
1182,Antonino Gallo,Left-Back,£180k
1185,Romario Benzar,Right-Back,£2.25m
1188,Andrea Rispoli,Right-Back,£900k
1191,Riccardo Fiamozzi,Right-Back,£630k
1194,Roberto Pierno,Right-Back,£90k
1197,Giannelli Imbula,Defensive Midfield,£4.50m
1200,Panagiotis Tachtsidis,Defensive Midfield,£1.08m
1203,Jacopo Petriccione,Central Midfield,£1.80m
1206,Yevhen Shakhov,Central Midfield,£1.80m
1209,Zan Majer,Central Midfield,£1.35m
1212,Andrea Tabanelli,Central Midfield,£540k
1215,Radoslav Tsonev,Central Midfield,£225k
1218,Marco Mancosu,Attacking Midfield,£2.25m
1221,Diego Farias,Second Striker,£4.05m
1224,Filippo Falco,Second Striker,£3.60m
1227,Simone Lo Faso,Second Striker,£450k
1230,Edgaras Dubickas,Second Striker,£90k
1233,Khouma Babacar,Centre-Forward,£7.20m
1236,Gianluca Lapadula,Centre-Forward,£4.50m
1239,Andrea La Mantia,Centre-Forward,£2.25m
1242,Salvatore Sirigu,Goalkeeper,£6.75m
1245,Samir Ujkani,Goalkeeper,£180k
1248,Antonio Rosati,Goalkeeper,£180k
1251,Armando Izzo,Centre-Back,£18.00m
1254,Nicolas N'Koulou,Centre-Back,£18.00m
1257,Lyanco,Centre-Back,£7.20m
1260,Kevin Bonifazi,Centre-Back,£4.95m
1263,Koffi Djidji,Centre-Back,£4.50m
1266,Bremer,Centre-Back,£3.15m
