Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Jack Stephens,SOU,EPL,D,22,1979,22,0,0,6,0,1,2,0,0,0,0,11,4,42,9,2,4,0,4,0,18,29,20,13,11,701,928,2,44,138,17,101,0,2,10,4,2,1,0,0,0,0,5,0,1277,22,0,0,0,0,0,0,0,0,5,0,0,0,33,5,0,105,105,46,0,2,2,2,0,25
Jose Luis Palomino,ATA,SERI,D,26,1978,22,4,2,3,0,0,1,0,0,0,0,9,2,39,7,3,2,1,2,0,21,60,39,36,12,923,1103,3,48,140,12,132,0,1,9,2,1,0,0,0,0,0,7,0,1468,15,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,101,101,59,0,0,0,0,1,14
Sergio Aguero,MCI,EPL,F,25,1969,22,3,9,2,0,0,21,6,0,6,0,94,42,6,16,6,40,10,34,0,1,9,6,10,17,520,628,6,10,58,56,92,0,0,80,40,20,14,2,1,0,0,43,0,1007,171,4,4,0,0,0,0,1,0,23,1,0,0,12,6,0,3,3,4,3,0,16,13,14,84
Mateo Pavlovic,SCO,FRAN,D,24,1966,22,2,2,9,0,0,2,0,0,0,0,18,6,19,0,0,3,0,3,0,11,13,7,31,10,744,888,0,67,118,4,93,0,0,17,6,2,1,0,0,0,0,2,0,1110,32,0,0,0,0,0,0,0,0,1,0,0,0,26,5,1,120,120,48,0,0,0,2,2,4
Divock Origi,WOL,BUND,F,31,1966,22,9,8,2,0,0,6,2,0,2,0,61,23,3,13,2,11,1,9,0,2,6,5,33,40,310,406,2,47,46,29,119,0,0,42,14,5,19,9,1,0,0,53,0,773,93,0,0,0,0,0,0,0,0,21,0,0,0,31,2,0,16,16,9,0,0,17,7,3,60
Thomas Muller,MUN,BUND,F,29,1964,22,7,11,4,0,0,8,14,0,14,0,43,17,7,79,25,55,18,40,0,0,35,30,20,14,712,927,25,34,52,12,94,0,1,33,15,8,10,2,0,1,0,14,0,1259,144,0,0,0,0,0,0,1,0,25,0,0,0,19,7,0,12,12,31,1,0,10,12,3,32
Daniele Verde,VNA,SERI,F/M,30,1957,22,8,12,0,0,0,2,3,2,2,1,37,11,30,106,29,22,2,14,5,0,11,10,2,12,394,545,18,0,97,26,49,0,0,8,3,1,29,8,1,0,0,16,0,923,19,0,0,0,0,8,2,30,19,11,7,2,0,48,3,0,15,15,30,1,0,7,2,2,35
Dennis Aogo,SGT,BUND,D,29,1954,22,7,8,5,0,0,0,6,0,1,5,15,1,32,104,20,25,6,12,7,3,37,28,32,12,867,1000,8,13,95,1,63,0,1,6,0,0,9,1,0,0,0,8,0,1383,21,0,0,0,0,18,4,50,48,9,2,1,0,25,7,1,21,21,77,0,0,0,1,0,2
Ivan Balliu,FCM,FRAN,D,25,1952,22,3,3,6,0,0,0,1,0,1,0,4,2,29,52,6,10,1,8,1,9,36,23,23,35,717,905,6,26,111,15,111,1,0,2,1,0,2,1,0,1,0,5,0,1461,11,0,0,0,0,0,0,0,0,6,0,0,0,47,1,0,53,53,59,0,0,2,0,0,26
Nathan Redmond,SOU,EPL,M,31,1947,22,9,9,3,0,0,1,3,0,3,0,44,15,14,69,17,42,6,32,7,0,33,18,19,18,613,799,7,4,126,55,110,1,1,21,7,1,23,8,0,0,0,43,0,1225,71,0,0,0,0,4,1,26,23,23,0,0,0,31,3,0,14,14,41,0,0,4,1,1,79
