,Player,POS,Valuation
1380,Javi Puado,Right Winger,£900k
1383,Jonathan Calleri,Centre-Forward,£8.10m
1386,Facundo Ferreyra,Centre-Forward,£3.60m
1389,Víctor Campuzano,Centre-Forward,£270k
1392,Fabri,Goalkeeper,£3.60m
1395,Manolo Reina,Goalkeeper,£270k
1398,Miquel Parera,Goalkeeper,£270k
1401,Antonio Raíllo,Centre-Back,£2.25m
1404,Martin Valjent,Centre-Back,£2.25m
1407,Aleksandar Sedlar,Centre-Back,£810k
1410,Xisco Campos,Centre-Back,£90k
1413,Abdul Rahman Baba,Left-Back,£4.50m
1416,Lumor,Left-Back,£1.26m
1419,Joan Sastre,Right-Back,£1.80m
1422,Fran Gámez,Right-Back,£450k
1425,Aleix Febas,Central Midfield,£3.60m
1428,Iddrisu Baba,Central Midfield,£900k
1431,Dani Rodríguez,Central Midfield,£630k
1434,Marc Pedraza,Central Midfield,£360k
1437,Salva Sevilla,Central Midfield,£180k
1440,Takefusa Kubo,Attacking Midfield,£9.00m
1443,Josep Señé,Attacking Midfield,£225k
1446,Lago Júnior,Left Winger,£1.80m
1449,Aleksandar Trajkovski,Left Winger,£1.80m
1452,Yannis Salibur,Right Winger,£1.80m
1455,Ariday Cabrera,Right Winger,£360k
1458,Cucho Hernández,Centre-Forward,£9.00m
1461,Pablo Chavarría,Centre-Forward,£2.25m
1464,Ante Budimir,Centre-Forward,£1.80m
1467,Abdón Prats,Centre-Forward,£720k
1470,Alex Alegría,Centre-Forward,£720k
