,Player,POS,Valuation
1302,Kevin Möhwald,Central Midfield,£3.60m
1305,Simon Straudi,Central Midfield,£180k
1308,Leonardo Bittencourt,Attacking Midfield,£6.30m
1311,David Philipp,Attacking Midfield,£90k
1314,Milot Rashica,Left Winger,£18.00m
1317,Johannes Eggestein,Right Winger,£9.00m
1320,Benjamin Goller,Right Winger,£360k
1323,Yuya Osako,Second Striker,£4.50m
1326,Fin Bartels,Second Striker,£1.35m
1329,Niclas Füllkrug,Centre-Forward,£7.20m
1332,Josh Sargent,Centre-Forward,£5.40m
1335,Claudio Pizarro,Centre-Forward,£450k
1338,Luc Ihorst,Centre-Forward,£135k
1341,Florian Müller,Goalkeeper,£9.00m
1344,Robin Zentner,Goalkeeper,£900k
1347,Omer Hanin,Goalkeeper,£270k
1350,Finn Dahmen,Goalkeeper,£135k
1353,Moussa Niakhaté,Centre-Back,£12.60m
1356,Jeremiah St. Juste,Centre-Back,£8.10m
1359,Stefan Bell,Centre-Back,£3.15m
1362,Alexander Hack,Centre-Back,£2.25m
1365,Ahmet Gürleyen,Centre-Back,£360k
1368,Aarón Martín,Left-Back,£18.00m
1371,Jonathan Meier,Left-Back,£630k
1374,Ronaël Pierre-Gabriel,Right-Back,£3.60m
1377,Daniel Brosinski,Right-Back,£2.25m
1380,Phillipp Mwene,Right-Back,£1.35m
1386,Pierre Kunde Malong,Central Midfield,£9.00m
1389,Edimilson Fernandes,Central Midfield,£7.20m
1392,Danny Latza,Central Midfield,£3.60m
1395,Ridle Baku,Central Midfield,£3.15m
1398,Leandro Barreiro Martins,Central Midfield,£450k
1404,Levin Öztunali,Right Midfield,£3.15m
1407,Jean-Paul Boëtius,Attacking Midfield,£5.40m
1410,Alexandru Maxim,Attacking Midfield,£1.80m
1413,Robin Quaison,Second Striker,£7.20m
1416,Jean-Philippe Mateta,Centre-Forward,£19.80m
1419,Taiwo Awoniyi,Centre-Forward,£4.05m
1422,Karim Onisiwo,Centre-Forward,£3.15m
1425,Ádám Szalai,Centre-Forward,£2.70m
1428,Dong-won Ji,Centre-Forward,£1.58m
1431,Jonathan Burkardt,Centre-Forward,£1.58m
1434,Cyrill Akono,Centre-Forward,£450k
