Player,POS,Position,ValMillions
Manolo Gabbiadini,Centre Forward,Striker,10.8
Fabio Quagliarella,Centre Forward,Striker,2.25
Federico Bonazzoli,Centre Forward,Striker,1.35
Gian Marco Ferrari,Centre Back,Defender,12.6
Marlon,Centre Back,Defender,9.0
Filippo Romagna,Centre Back,Defender,5.4
Vlad Chiriches,Centre Back,Defender,5.4
Leonardo Fontanesi,Centre Back,Defender,0.135
Rogerio,Left Back,Defender,9.0
Georgios Kyriakopoulos,Left Back,Defender,0.54
Federico Peluso,Left Back,Defender,0.45
Alessandro Tripaldelli,Left Back,Defender,0.45
Mert Muldur,Right Back,Defender,4.5
Jeremy Toljan,Right Back,Defender,3.6
Francesco Magnanelli,Defensive Midfield,Midfielder,0.72
Alfred Duncan,Central Midfield,Midfielder,15.3
Manuel Locatelli,Central Midfield,Midfielder,10.8
Pedro Obiang,Central Midfield,Midfielder,6.3
Mehdi Bourabia,Central Midfield,Midfielder,3.6
Luca Mazzitelli,Central Midfield,Midfielder,3.15
Hamed Junior Traore,Attacking Midfield,Midfielder,12.6
Filip Djuricic,Attacking Midfield,Midfielder,1.35
Jeremie Boga,Left Winger,Midfielder,5.4
Domenico Berardi,Right Winger,Midfielder,21.6
Gregoire Defrel,Centre Forward,Striker,10.8
Francesco Caputo,Centre Forward,Striker,4.5
Giacomo Raspadori,Centre Forward,Striker,0.45
Andrea Cistana,Centre Back,Defender,4.5
Giangiacomo Magnani,Centre Back,Defender,4.5
Jhon Chancellor,Centre Back,Defender,1.35
Daniele Gastaldello,Centre Back,Defender,0.27
Massimiliano Mangraviti,Centre Back,Defender,0.113
Bruno Martella,Left Back,Defender,1.62
Felipe Curcio,Left Back,Defender,0.36
Stefano Sabelli,Right Back,Defender,1.53
Ales Mateju,Right Back,Defender,1.53
Alessandro Semprini,Right Back,Defender,0.18
Sandro Tonali,Defensive Midfield,Midfielder,27.0
Mattia Viviani,Defensive Midfield,Midfielder,0.36
Dimitri Bisoli,Central Midfield,Midfielder,3.15
Emanuele Ndoj,Central Midfield,Midfielder,2.7
Romulo,Central Midfield,Midfielder,2.25
Daniele Dessena,Central Midfield,Midfielder,0.45
Jaromir Zmrhal,Left Midfield,Midfielder,2.93
Nikolas Spalek,Attacking Midfield,Midfielder,2.25
Leonardo Morosini,Attacking Midfield,Midfielder,1.35
Luca Tremolada,Attacking Midfield,Midfielder,0.81
Mario Balotelli,Centre Forward,Striker,18.0
Alfredo Donnarumma,Centre Forward,Striker,5.4
Florian Aye,Centre Forward,Striker,2.88
Ernesto Torregrossa,Centre Forward,Striker,2.7
Alessandro Matri,Centre Forward,Striker,0.27
Riccardo Gagliolo,Centre Back,Defender,2.7
