Player,POS,Position,ValMillions
Harry Maguire,Centre Back,Defender,63.0
Victor Lindelof,Centre Back,Defender,31.5
Eric Bailly,Centre Back,Defender,22.5
Phil Jones,Centre Back,Defender,13.5
Marcos Rojo,Centre Back,Defender,9.0
Axel Tuanzebe,Centre Back,Defender,6.3
Luke Shaw,Left Back,Defender,27.0
Ashley Young,Left Back,Defender,4.5
Aaron Wan Bissaka,Right Back,Defender,36.0
Diogo Dalot,Right Back,Defender,18.0
Timothy Fosu Mensah,Right Back,Defender,6.3
Nemanja Matic,Defensive Midfield,Midfielder,22.5
Paul Pogba,Central Midfield,Midfielder,90.0
Fred,Central Midfield,Midfielder,22.5
Scott McTominay,Central Midfield,Midfielder,18.0
Juan Mata,Attacking Midfield,Midfielder,18.0
Andreas Pereira,Attacking Midfield,Midfielder,13.5
Anthony Martial,Left Winger,Midfielder,54.0
Daniel James,Left Winger,Midfielder,22.5
Jesse Lingard,Right Winger,Midfielder,36.0
Marcus Rashford,Centre Forward,Striker,72.0
Mason Greenwood,Centre Forward,Striker,9.0
John Egan,Centre Back,Defender,6.3
Jack OConnell,Centre Back,Defender,5.85
Chris Basham,Centre Back,Defender,2.25
Phil Jagielka,Centre Back,Defender,0.9
Richard Stearman,Centre Back,Defender,0.9
Kean Bryan,Centre Back,Defender,0.225
Enda Stevens,Left Back,Defender,3.15
George Baldock,Right Back,Defender,2.7
Kieron Freeman,Right Back,Defender,1.35
Muhamed Besic,Defensive Midfield,Midfielder,4.5
John Fleck,Central Midfield,Midfielder,4.5
Oliver Norwood,Central Midfield,Midfielder,4.5
John Lundstram,Central Midfield,Midfielder,1.8
Ben Osborn,Left Midfield,Midfielder,2.7
Luke Freeman,Attacking Midfield,Midfielder,4.5
Ravel Morrison,Attacking Midfield,Midfielder,0.9
Callum Robinson,Left Winger,Midfielder,6.3
Ricky Holmes,Left Winger,Midfielder,0.315
Oliver McBurnie,Centre Forward,Striker,10.8
Lys Mousset,Centre Forward,Striker,5.4
Billy Sharp,Centre Forward,Striker,2.25
David McGoldrick,Centre Forward,Striker,1.8
Leon Clarke,Centre Forward,Striker,0.45
Ben Godfrey,Centre Back,Defender,8.1
Christoph Zimmermann,Centre Back,Defender,3.15
Grant Hanley,Centre Back,Defender,2.7
Timm Klose,Centre Back,Defender,2.7
Jamal Lewis,Left Back,Defender,8.1
Philip Heise,Left Back,Defender,0.9
Max Aarons,Right Back,Defender,7.2
Sam Byram,Right Back,Defender,3.15
Ibrahim Amadou,Defensive Midfield,Midfielder,6.3
Tom Trybull,Defensive Midfield,Midfielder,3.6
Alexander Tettey,Defensive Midfield,Midfielder,1.8
Mario Vrancic,Central Midfield,Midfielder,3.15
Moritz Leitner,Central Midfield,Midfielder,2.7
Kenny McLean,Central Midfield,Midfielder,2.25
Todd Cantwell,Left Midfield,Midfielder,6.3
Marco Stiepermann,Attacking Midfield,Midfielder,3.6
Onel Hernandez,Left Winger,Midfielder,3.6
Emiliano Buendia,Right Winger,Midfielder,16.2
Patrick Roberts,Right Winger,Midfielder,4.5
Teemu Pukki,Centre Forward,Striker,8.1
Josip Drmic,Centre Forward,Striker,2.7
Dennis Srbeny,Centre Forward,Striker,1.13
Davinson Sanchez,Centre Back,Defender,49.5
Toby Alderweireld,Centre Back,Defender,36.0
Jan Vertonghen,Centre Back,Defender,19.8
Juan Foyth,Centre Back,Defender,13.5
Danny Rose,Left Back,Defender,22.5
Ben Davies,Left Back,Defender,22.5
Serge Aurier,Right Back,Defender,13.5
Kyle Walker Peters,Right Back,Defender,9.0
Eric Dier,Defensive Midfield,Midfielder,27.0
Victor Wanyama,Defensive Midfield,Midfielder,13.5
Oliver Skipp,Defensive Midfield,Midfielder,7.2
Tanguy Ndombele,Central Midfield,Midfielder,58.5
Giovani Lo Celso,Central Midfield,Midfielder,45.0
Harry Winks,Central Midfield,Midfielder,36.0
Moussa Sissoko,Central Midfield,Midfielder,22.5
Ryan Sessegnon,Left Midfield,Midfielder,31.5
Christian Eriksen,Attacking Midfield,Midfielder,90.0
Dele Alli,Attacking Midfield,Midfielder,81.0
Heung min Son,Left Winger,Midfielder,72.0
Lucas Moura,Right Winger,Midfielder,36.0
Erik Lamela,Right Winger,Midfielder,19.8
Harry Kane,Centre Forward,Striker,135.0
Tyrone Mings,Centre Back,Defender,16.2
Bjorn Engels,Centre Back,Defender,9.0
James Chester,Centre Back,Defender,7.2
Ezri Konsa,Centre Back,Defender,7.2
Kortney Hause,Centre Back,Defender,2.7
Matt Targett,Left Back,Defender,9.0
Neil Taylor,Left Back,Defender,3.6
Frederic Guilbert,Right Back,Defender,5.4
Ahmed Elmohamady,Right Back,Defender,2.7
Marvelous Nakamba,Defensive Midfield,Midfielder,7.2
Douglas Luiz,Central Midfield,Midfielder,9.0
John McGinn,Central Midfield,Midfielder,5.85
Conor Hourihane,Central Midfield,Midfielder,5.85
Henri Lansbury,Central Midfield,Midfielder,1.35
Jack Grealish,Attacking Midfield,Midfielder,22.5
Trezeguet,Left Winger,Midfielder,7.2
Anwar El Ghazi,Right Winger,Midfielder,6.75
Jota,Right Winger,Midfielder,4.5
Wesley,Centre Forward,Striker,18.0
Jonathan Kodjia,Centre Forward,Striker,6.3
Keinan Davis,Centre Forward,Striker,1.8
Antonio Rudiger,Centre Back,Defender,45.0
Andreas Christensen,Centre Back,Defender,31.5
Kurt Zouma,Centre Back,Defender,22.5
Fikayo Tomori,Centre Back,Defender,9.0
Michael Hector,Centre Back,Defender,2.7
Marcos Alonso,Left Back,Defender,28.8
Emerson,Left Back,Defender,22.5
Cesar Azpilicueta,Right Back,Defender,31.5
Reece James,Right Back,Defender,6.3
Jorginho,Defensive Midfield,Midfielder,58.5
NGolo Kante,Central Midfield,Midfielder,90.0
Mateo Kovacic,Central Midfield,Midfielder,31.5
Ross Barkley,Central Midfield,Midfielder,27.0
Ruben Loftus Cheek,Central Midfield,Midfielder,27.0
Marco van Ginkel,Central Midfield,Midfielder,9.0
Mason Mount,Attacking Midfield,Midfielder,31.5
Callum Hudson Odoi,Left Winger,Midfielder,31.5
Christian Pulisic,Right Winger,Midfielder,54.0
Willian,Right Winger,Midfielder,31.5
Pedro,Right Winger,Midfielder,18.0
Tammy Abraham,Centre Forward,Striker,28.8
Michy Batshuayi,Centre Forward,Striker,22.5
Olivier Giroud,Centre Forward,Striker,10.8
Virgil van Dijk,Centre Back,Defender,90.0
Joe Gomez,Centre Back,Defender,31.5
Joel Matip,Centre Back,Defender,31.5
Dejan Lovren,Centre Back,Defender,18.0
Sepp van den Berg,Centre Back,Defender,1.8
Andrew Robertson,Left Back,Defender,54.0
Trent Alexander Arnold,Right Back,Defender,72.0
Nathaniel Clyne,Right Back,Defender,10.8
Fabinho,Defensive Midfield,Midfielder,45.0
Georginio Wijnaldum,Central Midfield,Midfielder,45.0
Naby Keita,Central Midfield,Midfielder,45.0
Jordan Henderson,Central Midfield,Midfielder,31.5
Alex Oxlade Chamberlain,Central Midfield,Midfielder,31.5
James Milner,Central Midfield,Midfielder,13.5
Adam Lallana,Attacking Midfield,Midfielder,13.5
Sadio Mane,Left Winger,Midfielder,108.0
Mohamed Salah,Right Winger,Midfielder,135.0
Xherdan Shaqiri,Right Winger,Midfielder,22.5
Roberto Firmino,Centre Forward,Striker,72.0
Divock Origi,Centre Forward,Striker,18.0
Sokratis,Centre Back,Defender,18.0
David Luiz,Centre Back,Defender,18.0
Shkodran Mustafi,Centre Back,Defender,16.2
Rob Holding,Centre Back,Defender,10.8
Konstantinos Mavropanos,Centre Back,Defender,2.7
Kieran Tierney,Left Back,Defender,22.5
Sead Kolasinac,Left Back,Defender,18.0
Hector Bellerin,Right Back,Defender,36.0
Calum Chambers,Right Back,Defender,12.6
Lucas Torreira,Defensive Midfield,Midfielder,49.5
Granit Xhaka,Defensive Midfield,Midfielder,36.0
Dani Ceballos,Central Midfield,Midfielder,40.5
Matteo Guendouzi,Central Midfield,Midfielder,40.5
Joe Willock,Central Midfield,Midfielder,9.0
Ainsley Maitland Niles,Right Midfield,Midfielder,16.2
Mesut Ozil,Attacking Midfield,Midfielder,22.5
Bukayo Saka,Left Winger,Midfielder,6.3
Nicolas Pepe,Right Winger,Midfielder,67.5
Reiss Nelson,Right Winger,Midfielder,15.3
Alexandre Lacazette,Centre Forward,Striker,63.0
Pierre Emerick Aubameyang,Centre Forward,Striker,63.0
Gabriel Martinelli,Centre Forward,Striker,7.2
Jannik Vestergaard,Centre Back,Defender,18.0
Jan Bednarek,Centre Back,Defender,13.5
Jack Stephens,Centre Back,Defender,7.2
Kevin Danso,Centre Back,Defender,7.2
Maya Yoshida,Centre Back,Defender,6.3
Ryan Bertrand,Left Back,Defender,13.5
Sam McQueen,Left Back,Defender,0.9
Cedric Soares,Right Back,Defender,10.8
Yan Valery,Right Back,Defender,6.3
Oriol Romeu,Defensive Midfield,Midfielder,9.0
James Ward Prowse,Central Midfield,Midfielder,16.2
Pierre Emile Hojbjerg,Central Midfield,Midfielder,13.5
Stuart Armstrong,Central Midfield,Midfielder,7.2
Nathan Redmond,Left Winger,Midfielder,18.0
Moussa Djenepo,Left Winger,Midfielder,10.8
Sofiane Boufal,Left Winger,Midfielder,10.8
Danny Ings,Centre Forward,Striker,13.5
Che Adams,Centre Forward,Striker,10.8
Shane Long,Centre Forward,Striker,4.5
Michael Obafemi,Centre Forward,Striker,1.8
Aymeric Laporte,Centre Back,Defender,67.5
John Stones,Centre Back,Defender,54.0
Nicolas Otamendi,Centre Back,Defender,22.5
Benjamin Mendy,Left Back,Defender,31.5
Oleksandr Zinchenko,Left Back,Defender,27.0
Angelino,Left Back,Defender,14.4
Joao Cancelo,Right Back,Defender,49.5
Kyle Walker,Right Back,Defender,45.0
Rodri,Defensive Midfield,Midfielder,72.0
Fernandinho,Defensive Midfield,Midfielder,10.8
Ilkay Gundogan,Central Midfield,Midfielder,45.0
Phil Foden,Central Midfield,Midfielder,27.0
Kevin De Bruyne,Attacking Midfield,Midfielder,117.0
David Silva,Attacking Midfield,Midfielder,18.0
Raheem Sterling,Left Winger,Midfielder,126.0
Leroy Sane,Left Winger,Midfielder,90.0
Bernardo Silva,Right Winger,Midfielder,90.0
Riyad Mahrez,Right Winger,Midfielder,54.0
Gabriel Jesus,Centre Forward,Striker,63.0
Sergio Aguero,Centre Forward,Striker,58.5
Christian Kabasele,Centre Back,Defender,7.2
Craig Dawson,Centre Back,Defender,5.4
Craig Cathcart,Centre Back,Defender,4.5
Adrian Mariappa,Centre Back,Defender,2.7
Sebastian Prodl,Centre Back,Defender,2.25
Adam Masina,Left Back,Defender,4.5
Marvin Zeegelaar,Left Back,Defender,2.25
Jose Holebas,Left Back,Defender,1.8
Daryl Janmaat,Right Back,Defender,5.4
Kiko Femenia,Right Back,Defender,5.4
Dimitri Foulquier,Right Back,Defender,3.15
Etienne Capoue,Defensive Midfield,Midfielder,7.2
Nathaniel Chalobah,Defensive Midfield,Midfielder,6.3
Abdoulaye Doucoure,Central Midfield,Midfielder,22.5
Will Hughes,Central Midfield,Midfielder,16.2
Tom Cleverley,Central Midfield,Midfielder,6.3
Domingos Quina,Central Midfield,Midfielder,4.5
Tom Dele Bashiru,Central Midfield,Midfielder,0.135
Roberto Pereyra,Attacking Midfield,Midfielder,11.7
Isaac Success,Left Winger,Midfielder,4.5
Ismaila Sarr,Right Winger,Midfielder,27.0
Gerard Deulofeu,Right Winger,Midfielder,22.5
Andre Gray,Centre Forward,Striker,13.5
Danny Welbeck,Centre Forward,Striker,10.8
Troy Deeney,Centre Forward,Striker,9.0
Mamadou Sakho,Centre Back,Defender,13.5
James Tomkins,Centre Back,Defender,5.4
Gary Cahill,Centre Back,Defender,5.4
Jairo Riedewald,Centre Back,Defender,4.5
Scott Dann,Centre Back,Defender,3.6
Patrick van Aanholt,Left Back,Defender,9.0
Joel Ward,Right Back,Defender,3.6
Martin Kelly,Right Back,Defender,2.7
Luka Milivojevic,Defensive Midfield,Midfielder,18.0
Cheikhou Kouyate,Defensive Midfield,Midfielder,9.0
Victor Camarasa,Central Midfield,Midfielder,9.0
James McArthur,Central Midfield,Midfielder,6.3
James McCarthy,Central Midfield,Midfielder,4.5
Jeffrey Schlupp,Left Midfield,Midfielder,9.0
Max Meyer,Attacking Midfield,Midfielder,13.5
Wilfried Zaha,Right Winger,Midfielder,49.5
Andros Townsend,Right Winger,Midfielder,13.5
Christian Benteke,Centre Forward,Striker,13.5
Jordan Ayew,Centre Forward,Striker,7.2
Connor Wickham,Centre Forward,Striker,2.7
Lewis Dunk,Centre Back,Defender,18.0
Adam Webster,Centre Back,Defender,13.5
Shane Duffy,Centre Back,Defender,10.8
Dan Burn,Centre Back,Defender,2.7
Leon Balogun,Centre Back,Defender,1.8
Bernardo,Left Back,Defender,8.1
Gaetan Bong,Left Back,Defender,1.8
Martin Montoya,Right Back,Defender,7.2
Ezequiel Schelotto,Right Back,Defender,1.8
Tudor Baluta,Defensive Midfield,Midfielder,4.05
Yves Bissouma,Central Midfield,Midfielder,13.5
Davy Propper,Central Midfield,Midfielder,13.5
Aaron Mooy,Central Midfield,Midfielder,12.6
Pascal Gross,Central Midfield,Midfielder,9.0
Dale Stephens,Central Midfield,Midfielder,5.4
Andrew Crofts,Central Midfield,Midfielder,0.315
Solly March,Left Midfield,Midfielder,7.2
Leandro Trossard,Left Winger,Midfielder,14.4
Jose Izquierdo,Left Winger,Midfielder,9.0
Alireza Jahanbakhsh,Right Winger,Midfielder,10.8
Neal Maupay,Centre Forward,Striker,16.2
Glenn Murray,Centre Forward,Striker,2.7
Aaron Connolly,Centre Forward,Striker,2.25
Issa Diop,Centre Back,Defender,31.5
Fabian Balbuena,Centre Back,Defender,10.8
Angelo Ogbonna,Centre Back,Defender,7.2
Winston Reid,Centre Back,Defender,4.5
Goncalo Cardoso,Centre Back,Defender,2.25
Arthur Masuaku,Left Back,Defender,9.0
Aaron Cresswell,Left Back,Defender,7.2
Ryan Fredericks,Right Back,Defender,6.3
Pablo Zabaleta,Right Back,Defender,1.8
Declan Rice,Defensive Midfield,Midfielder,45.0
Carlos Sanchez,Defensive Midfield,Midfielder,1.35
Jack Wilshere,Central Midfield,Midfielder,9.0
Mark Noble,Central Midfield,Midfielder,6.3
Pablo Fornals,Attacking Midfield,Midfielder,22.5
Manuel Lanzini,Attacking Midfield,Midfielder,18.0
Felipe Anderson,Left Winger,Midfielder,40.5
Andrii Yarmolenko,Right Winger,Midfielder,18.0
Michail Antonio,Right Winger,Midfielder,13.5
Robert Snodgrass,Right Winger,Midfielder,6.3
Sebastien Haller,Centre Forward,Striker,40.5
Albian Ajeti,Centre Forward,Striker,6.3
Willy Boly,Centre Back,Defender,13.5
Conor Coady,Centre Back,Defender,13.5
Jesus Vallejo,Centre Back,Defender,9.0
Ryan Bennett,Centre Back,Defender,6.3
Jonny Otto,Left Back,Defender,18.0
Ruben Vinagre,Left Back,Defender,9.0
Matt Doherty,Right Back,Defender,13.5
Phil Ofosu Ayeh,Right Back,Defender,0.27
Ruben Neves,Defensive Midfield,Midfielder,45.0
Leander Dendoncker,Defensive Midfield,Midfielder,22.5
Romain Saiss,Defensive Midfield,Midfielder,4.5
Joao Moutinho,Central Midfield,Midfielder,9.0
Morgan Gibbs White,Central Midfield,Midfielder,7.2
Bruno Jordao,Central Midfield,Midfielder,2.25
Ming Yang Yang,Central Midfield,Midfielder,0.225
Diogo Jota,Left Winger,Midfielder,31.5
Jordan Graham,Left Winger,Midfielder,0.45
Adama Traore,Right Winger,Midfielder,13.5
Pedro Neto,Right Winger,Midfielder,6.3
Raul Jimenez,Centre Forward,Striker,31.5
Patrick Cutrone,Centre Forward,Striker,22.5
James Tarkowski,Centre Back,Defender,16.2
Ben Mee,Centre Back,Defender,9.0
Ben Gibson,Centre Back,Defender,9.0
Kevin Long,Centre Back,Defender,2.25
Charlie Taylor,Left Back,Defender,6.3
Erik Pieters,Left Back,Defender,4.5
Matthew Lowton,Right Back,Defender,4.5
Phil Bardsley,Right Back,Defender,1.35
Jack Cork,Defensive Midfield,Midfielder,13.5
Ashley Westwood,Defensive Midfield,Midfielder,6.3
Jeff Hendrick,Central Midfield,Midfielder,9.0
Danny Drinkwater,Central Midfield,Midfielder,7.2
Robbie Brady,Left Midfield,Midfielder,7.2
Dwight McNeil,Left Winger,Midfielder,13.5
Johann Berg Gudmundsson,Right Winger,Midfielder,9.0
Aaron Lennon,Right Winger,Midfielder,4.5
Chris Wood,Centre Forward,Striker,16.2
Ashley Barnes,Centre Forward,Striker,9.0
Jay Rodriguez,Centre Forward,Striker,9.0
Matej Vydra,Centre Forward,Striker,7.2
Caglar Soyuncu,Centre Back,Defender,18.0
Jonny Evans,Centre Back,Defender,10.8
Filip Benkovic,Centre Back,Defender,9.9
Wes Morgan,Centre Back,Defender,1.8
Ben Chilwell,Left Back,Defender,31.5
Christian Fuchs,Left Back,Defender,2.7
Ricardo Pereira,Right Back,Defender,27.0
James Justin,Right Back,Defender,3.6
Wilfred Ndidi,Defensive Midfield,Midfielder,31.5
Hamza Choudhury,Defensive Midfield,Midfielder,9.0
Nampalys Mendy,Defensive Midfield,Midfielder,7.2
Daniel Amartey,Defensive Midfield,Midfielder,6.3
Youri Tielemans,Central Midfield,Midfielder,40.5
Dennis Praet,Central Midfield,Midfielder,21.6
Matty James,Central Midfield,Midfielder,1.35
Marc Albrighton,Right Midfield,Midfielder,9.0
Harvey Barnes,Left Midfield,Midfielder,10.8
James Maddison,Attacking Midfield,Midfielder,40.5
Bartosz Kapustka,Attacking Midfield,Midfielder,2.25
Demarai Gray,Left Winger,Midfielder,18.0
George Thomas,Right Winger,Midfielder,0.45
Ayoze Perez,Second Striker,Striker,18.0
Jamie Vardy,Centre Forward,Striker,18.0
Kelechi Iheanacho,Centre Forward,Striker,10.8
Jamaal Lascelles,Centre Back,Defender,16.2
Fabian Schar,Centre Back,Defender,10.8
Florian Lejeune,Centre Back,Defender,7.2
Federico Fernandez,Centre Back,Defender,6.3
Ciaran Clark,Centre Back,Defender,5.4
Paul Dummett,Left Back,Defender,6.3
Jetro Willems,Left Back,Defender,4.5
DeAndre Yedlin,Right Back,Defender,7.2
Emil Krafth,Right Back,Defender,4.5
Javier Manquillo,Right Back,Defender,4.5
Jamie Sterry,Right Back,Defender,0.068
Isaac Hayden,Defensive Midfield,Midfielder,9.0
Sung yong Ki,Defensive Midfield,Midfielder,5.4
Jack Colback,Defensive Midfield,Midfielder,2.7
Sean Longstaff,Central Midfield,Midfielder,16.2
Jonjo Shelvey,Central Midfield,Midfielder,13.5
Matt Ritchie,Right Midfield,Midfielder,10.8
Miguel Almiron,Attacking Midfield,Midfielder,18.0
Henri Saivet,Attacking Midfield,Midfielder,0.9
Christian Atsu,Left Winger,Midfielder,5.4
Allan Saint Maximin,Right Winger,Midfielder,22.5
Joelinton,Centre Forward,Striker,31.5
Dwight Gayle,Centre Forward,Striker,13.5
Yoshinori Muto,Centre Forward,Striker,8.1
Andy Carroll,Centre Forward,Striker,5.4
Michael Keane,Centre Back,Defender,27.0
Yerry Mina,Centre Back,Defender,22.5
Mason Holgate,Centre Back,Defender,6.3
Lucas Digne,Left Back,Defender,27.0
Leighton Baines,Left Back,Defender,3.15
Seamus Coleman,Right Back,Defender,13.5
Djibril Sidibe,Right Back,Defender,10.8
Cuco Martina,Right Back,Defender,1.35
Jean Philippe Gbamin,Defensive Midfield,Midfielder,25.2
Morgan Schneiderlin,Defensive Midfield,Midfielder,13.5
Andre Gomes,Central Midfield,Midfielder,25.2
Fabian Delph,Central Midfield,Midfielder,13.5
Tom Davies,Central Midfield,Midfielder,13.5
Beni Baningime,Central Midfield,Midfielder,1.8
Gylfi Sigurdsson,Attacking Midfield,Midfielder,31.5
Richarlison,Left Winger,Midfielder,45.0
Alex Iwobi,Left Winger,Midfielder,28.8
Bernard,Left Winger,Midfielder,18.0
Theo Walcott,Right Winger,Midfielder,13.5
Moise Kean,Centre Forward,Striker,36.0
Dominic Calvert Lewin,Centre Forward,Striker,18.0
Cenk Tosun,Centre Forward,Striker,13.5
Oumar Niasse,Centre Forward,Striker,5.4
Nathan Ake,Centre Back,Defender,31.5
Chris Mepham,Centre Back,Defender,11.7
Steve Cook,Centre Back,Defender,9.0
Jack Simpson,Centre Back,Defender,1.35
Lloyd Kelly,Left Back,Defender,8.1
Diego Rico,Left Back,Defender,6.3
Charlie Daniels,Left Back,Defender,2.7
Adam Smith,Right Back,Defender,6.3
Jack Stacey,Right Back,Defender,3.6
Simon Francis,Right Back,Defender,1.8
Jefferson Lerma,Defensive Midfield,Midfielder,22.5
Lewis Cook,Central Midfield,Midfielder,18.0
Philip Billing,Central Midfield,Midfielder,13.5
Dan Gosling,Central Midfield,Midfielder,3.15
Andrew Surman,Central Midfield,Midfielder,2.25
David Brooks,Attacking Midfield,Midfielder,27.0
Ryan Fraser,Left Winger,Midfielder,27.0
Arnaut Danjuma,Left Winger,Midfielder,10.8
Junior Stanislas,Left Winger,Midfielder,3.15
Harry Wilson,Right Winger,Midfielder,16.2
Jordon Ibe,Right Winger,Midfielder,7.2
Joshua King,Second Striker,Striker,18.0
Callum Wilson,Centre Forward,Striker,27.0
Dominic Solanke,Centre Forward,Striker,16.2
Jeffrey Gouweleeuw,Centre Back,Defender,10.8
Tin Jedvaj,Centre Back,Defender,6.75
Felix Uduokhai,Centre Back,Defender,5.85
Reece Oxford,Centre Back,Defender,2.7
Marek Suchy,Centre Back,Defender,2.03
Jozo Stanic,Centre Back,Defender,0.18
Philipp Max,Left Back,Defender,15.3
Iago,Left Back,Defender,4.5
Mads Pedersen,Left Back,Defender,0.81
Stephan Lichtsteiner,Right Back,Defender,1.35
Raphael Framberger,Right Back,Defender,0.9
Simon Asta,Right Back,Defender,0.225
Rani Khedira,Defensive Midfield,Midfielder,9.0
Carlos Gruezo,Defensive Midfield,Midfielder,1.8
Felix Gotze,Defensive Midfield,Midfielder,0.9
Daniel Baier,Defensive Midfield,Midfielder,0.72
Jan Moravek,Central Midfield,Midfielder,0.675
Georg Teigl,Right Midfield,Midfielder,0.63
Fredrik Jensen,Attacking Midfield,Midfielder,2.25
Marco Richter,Left Winger,Midfielder,9.0
Ruben Vargas,Left Winger,Midfielder,6.3
Andre Hahn,Right Winger,Midfielder,3.15
Noah Sarenren Bazee,Right Winger,Midfielder,1.13
Michael Gregoritsch,Second Striker,Striker,10.8
Alfred Finnbogason,Centre Forward,Striker,13.5
Florian Niederlechner,Centre Forward,Striker,4.5
Sergio Cordova,Centre Forward,Striker,1.8
Julian Schieber,Centre Forward,Striker,0.675
Maurice Malone,Centre Forward,Striker,0.315
Seong hoon Cheon,Centre Forward,Striker,0.225
Manuel Akanji,Centre Back,Defender,36.0
Mats Hummels,Centre Back,Defender,31.5
Dan Axel Zagadou,Centre Back,Defender,25.2
Leonardo Balerdi,Centre Back,Defender,12.6
Nico Schulz,Left Back,Defender,22.5
Marcel Schmelzer,Left Back,Defender,2.25
Achraf Hakimi,Right Back,Defender,27.0
Lukasz Piszczek,Right Back,Defender,2.7
Mateu Morey,Right Back,Defender,0.9
Axel Witsel,Defensive Midfield,Midfielder,28.8
Julian Weigl,Defensive Midfield,Midfielder,22.5
Tobias Raschl,Defensive Midfield,Midfielder,0.72
Thomas Delaney,Central Midfield,Midfielder,24.3
Mahmoud Dahoud,Central Midfield,Midfielder,9.0
Raphael Guerreiro,Left Midfield,Midfielder,22.5
Marco Reus,Attacking Midfield,Midfielder,45.0
Julian Brandt,Left Winger,Midfielder,45.0
Thorgan Hazard,Left Winger,Midfielder,34.2
Jacob Bruun Larsen,Left Winger,Midfielder,13.5
Jadon Sancho,Right Winger,Midfielder,90.0
Paco Alcacer,Centre Forward,Striker,45.0
Mario Gotze,Centre Forward,Striker,19.8
Ibrahima Konate,Centre Back,Defender,40.5
Dayot Upamecano,Centre Back,Defender,36.0
Willi Orban,Centre Back,Defender,18.0
Ethan Ampadu,Centre Back,Defender,9.0
Frederik Jakel,Centre Back,Defender,0.135
Malik Talabidi,Centre Back,Defender,0.135
Marcel Halstenberg,Left Back,Defender,19.8
Marcelo Saracchi,Left Back,Defender,9.0
Luan Candido,Left Back,Defender,3.6
Lukas Klostermann,Right Back,Defender,27.0
Nordi Mukiele,Right Back,Defender,19.8
Diego Demme,Defensive Midfield,Midfielder,15.3
Tyler Adams,Defensive Midfield,Midfielder,11.7
Stefan Ilsanker,Defensive Midfield,Midfielder,2.7
Tom Krauss,Defensive Midfield,Midfielder,0.27
Kevin Kampl,Central Midfield,Midfielder,19.8
Amadou Haidara,Central Midfield,Midfielder,18.0
Konrad Laimer,Central Midfield,Midfielder,15.3
Christopher Nkunku,Central Midfield,Midfielder,13.5
Mads Bidstrup,Central Midfield,Midfielder,0.9
Hannes Wolf,Attacking Midfield,Midfielder,10.8
Emil Forsberg,Left Winger,Midfielder,22.5
Ademola Lookman,Left Winger,Midfielder,18.0
Marcel Sabitzer,Right Winger,Midfielder,27.0
Fabrice Hartmann,Right Winger,Midfielder,0.36
Timo Werner,Centre Forward,Striker,58.5
Yussuf Poulsen,Centre Forward,Striker,31.5
Matheus Cunha,Centre Forward,Striker,13.5
Patrik Schick,Centre Forward,Striker,13.5
Niklas Stark,Centre Back,Defender,18.0
Karim Rekik,Centre Back,Defender,13.5
Jordan Torunarigha,Centre Back,Defender,9.0
Dedryck Boyata,Centre Back,Defender,3.6
Florian Baak,Centre Back,Defender,0.36
Maximilian Mittelstadt,Left Back,Defender,9.9
Marvin Plattenhardt,Left Back,Defender,9.0
Lukas Klunter,Right Back,Defender,3.6
Peter Pekarik,Right Back,Defender,0.72
Arne Maier,Defensive Midfield,Midfielder,21.6
Marko Grujic,Central Midfield,Midfielder,18.0
Eduard Lowen,Central Midfield,Midfielder,6.3
Vladimir Darida,Central Midfield,Midfielder,3.6
Per Ciljan Skjelbred,Central Midfield,Midfielder,1.58
Sidney Friede,Central Midfield,Midfielder,0.63
Julian Albrecht,Central Midfield,Midfielder,0.27
Ondrej Duda,Attacking Midfield,Midfielder,15.3
Javairo Dilrosun,Left Winger,Midfielder,10.8
Salomon Kalou,Left Winger,Midfielder,2.7
Dennis Jastrzembski,Left Winger,Midfielder,0.72
Dodi Lukebakio,Right Winger,Midfielder,16.2
Marius Wolf,Right Winger,Midfielder,7.2
Mathew Leckie,Right Winger,Midfielder,3.15
Alexander Esswein,Right Winger,Midfielder,0.9
Palko Dardai,Right Winger,Midfielder,0.9
Maurice Covic,Right Winger,Midfielder,0.18
Davie Selke,Centre Forward,Striker,13.5
Daishawn Redan,Centre Forward,Striker,3.6
Vedad Ibisevic,Centre Forward,Striker,1.8
Pascal Kopke,Centre Forward,Striker,0.9
Muhammed Kiprit,Centre Forward,Striker,0.27
Robin Koch,Centre Back,Defender,9.0
Dominique Heintz,Centre Back,Defender,6.75
Philipp Lienhart,Centre Back,Defender,6.3
Manuel Gulde,Centre Back,Defender,3.6
Nico Schlotterbeck,Centre Back,Defender,2.25
Christian Gunter,Left Back,Defender,8.1
Luca Itter,Left Back,Defender,1.8
Jonathan Schmid,Right Back,Defender,4.5
Lukas Kubler,Right Back,Defender,2.25
Nicolas Hofler,Defensive Midfield,Midfielder,3.6
Amir Abrashi,Defensive Midfield,Midfielder,2.25
Janik Haberer,Central Midfield,Midfielder,9.0
Jerome Gondorf,Central Midfield,Midfielder,1.35
Mike Frantz,Central Midfield,Midfielder,0.9
Lino Tempelmann,Central Midfield,Midfielder,0.36
Vincenzo Grifo,Left Winger,Midfielder,8.1
Roland Sallai,Left Winger,Midfielder,4.05
Marco Terrazzino,Left Winger,Midfielder,1.35
Florian Kath,Left Winger,Midfielder,0.45
Chang hun Kwon,Right Winger,Midfielder,4.95
Woo yeong Jeong,Right Winger,Midfielder,1.8
