,Player,POS,Valuation
1065,Ryan Bennett,Centre-Back,£6.30m
1071,Jonny Otto,Left-Back,£18.00m
1074,Rúben Vinagre,Left-Back,£9.00m
1077,Matt Doherty,Right-Back,£13.50m
1080,Phil Ofosu-Ayeh,Right-Back,£270k
1083,Rúben Neves,Defensive Midfield,£45.00m
1086,Leander Dendoncker,Defensive Midfield,£22.50m
1089,Romain Saïss,Defensive Midfield,£4.50m
1092,João Moutinho,Central Midfield,£9.00m
1095,Morgan Gibbs-White,Central Midfield,£7.20m
1098,Bruno Jordão,Central Midfield,£2.25m
1101,Ming-Yang Yang,Central Midfield,£225k
1104,Diogo Jota,Left Winger,£31.50m
1107,Jordan Graham,Left Winger,£450k
1110,Adama Traoré,Right Winger,£13.50m
1113,Pedro Neto,Right Winger,£6.30m
1116,Raúl Jiménez,Centre-Forward,£31.50m
1119,Patrick Cutrone,Centre-Forward,£22.50m
1122,Nick Pope,Goalkeeper,£9.00m
1125,Joe Hart,Goalkeeper,£3.60m
1128,Bailey Peacock-Farrell,Goalkeeper,£1.35m
1131,Adam Legzdins,Goalkeeper,£225k
1134,James Tarkowski,Centre-Back,£16.20m
1137,Ben Mee,Centre-Back,£9.00m
1140,Ben Gibson,Centre-Back,£9.00m
1143,Kevin Long,Centre-Back,£2.25m
1146,Charlie Taylor,Left-Back,£6.30m
1149,Erik Pieters,Left-Back,£4.50m
1152,Matthew Lowton,Right-Back,£4.50m
1155,Phil Bardsley,Right-Back,£1.35m
1158,Jack Cork,Defensive Midfield,£13.50m
1161,Ashley Westwood,Defensive Midfield,£6.30m
1164,Jeff Hendrick,Central Midfield,£9.00m
1167,Danny Drinkwater,Central Midfield,£7.20m
1170,Robbie Brady,Left Midfield,£7.20m
1173,Dwight McNeil,Left Winger,£13.50m
1176,Johann Berg Gudmundsson,Right Winger,£9.00m
1179,Aaron Lennon,Right Winger,£4.50m
1182,Chris Wood,Centre-Forward,£16.20m
1185,Ashley Barnes,Centre-Forward,£9.00m
1188,Jay Rodríguez,Centre-Forward,£9.00m
1191,Matej Vydra,Centre-Forward,£7.20m
1194,Kasper Schmeichel,Goalkeeper,£10.80m
1197,Danny Ward,Goalkeeper,£7.20m
1200,Eldin Jakupovic,Goalkeeper,£675k
1203,Caglar Söyüncü,Centre-Back,£18.00m
1206,Jonny Evans,Centre-Back,£10.80m
1209,Filip Benkovic,Centre-Back,£9.90m
1212,Wes Morgan,Centre-Back,£1.80m
1215,Ben Chilwell,Left-Back,£31.50m
1218,Christian Fuchs,Left-Back,£2.70m
1221,Ricardo Pereira,Right-Back,£27.00m
1224,James Justin,Right-Back,£3.60m
1227,Wilfred Ndidi,Defensive Midfield,£31.50m
1230,Hamza Choudhury,Defensive Midfield,£9.00m
1233,Nampalys Mendy,Defensive Midfield,£7.20m
1236,Daniel Amartey,Defensive Midfield,£6.30m
1239,Youri Tielemans,Central Midfield,£40.50m
1242,Dennis Praet,Central Midfield,£21.60m
1245,Matty James,Central Midfield,£1.35m
1248,Marc Albrighton,Right Midfield,£9.00m
1251,Harvey Barnes,Left Midfield,£10.80m
1254,James Maddison,Attacking Midfield,£40.50m
1257,Bartosz Kapustka,Attacking Midfield,£2.25m
1260,Demarai Gray,Left Winger,£18.00m
1263,George Thomas,Right Winger,£450k
1266,Ayoze Pérez,Second Striker,£18.00m
1269,Jamie Vardy,Centre-Forward,£18.00m
1272,Kelechi Iheanacho,Centre-Forward,£10.80m
1275,Martin Dubravka,Goalkeeper,£6.30m
1278,Karl Darlow,Goalkeeper,£3.15m
1281,Rob Elliot,Goalkeeper,£900k
1284,Jamaal Lascelles,Centre-Back,£16.20m
1287,Fabian Schär,Centre-Back,£10.80m
1290,Florian Lejeune,Centre-Back,£7.20m
1293,Federico Fernández,Centre-Back,£6.30m
1296,Ciaran Clark,Centre-Back,£5.40m
1299,Paul Dummett,Left-Back,£6.30m
1302,Jetro Willems,Left-Back,£4.50m
1305,DeAndre Yedlin,Right-Back,£7.20m
